,Unnamed: 0,word,sentence,context,Vision.M,Vision.SD,Hearing.M,Hearing.SD,Olfaction.M,Olfaction.SD,Interoception.M,Interoception.SD,Taste.M,Taste.SD,Touch.M,Touch.SD,count_perceptual,Foot_leg.M,Foot_leg.SD,Mouth_throat.M,Mouth_throat.SD,Torso.M,Torso.SD,Head.M,Head.SD,Hand_arm.M,Hand_arm.SD,count_action,distance_to_lancaster
0,1,act,It was a comedic act.,M2_b,3.46153846153846,1.7134460703207,3.76923076923077,1.36344209960466,0.307692307692308,0.480384461415261,1.38461538461538,1.60926802918084,0.230769230769231,0.438529009653515,0.384615384615385,0.650443635587991,13,1.375,1.62788205960997,2.375,1.82117178395303,1.5,1.75119007154183,1.875,2.15638586528478,1.9375,1.94828984838841,16,0.06098206159660002
1,2,act,It was a desperate act.,M1_a,2.78571428571429,1.62568666810586,1.21428571428571,1.42389343964797,0.357142857142857,0.841897386141095,1.57142857142857,1.86935964825003,0.285714285714286,1.0690449676497,0.571428571428571,1.22249969100425,14,1.78947368421053,1.93157815064439,2.15789473684211,1.89335557189806,2.15789473684211,2.00729663131334,2.36842105263158,1.7704527454797,2.68421052631579,1.88716811884154,19,0.02670960099597719
2,3,act,It was a humane act.,M1_b,2.36363636363636,1.91168654714769,1.45454545454545,1.43969693780576,0.272727272727273,0.646669790682863,1.45454545454545,1.80906806746658,0.0,0.0,1.27272727272727,1.84883255547435,11,2.21428571428571,2.04482729865353,2.57142857142857,2.10180456217566,2.28571428571429,2.09132168104918,3.21428571428571,1.92867317598919,2.92857142857143,1.73046395354122,14,0.02628997574612779
3,4,act,It was a magic act.,M2_a,4.27272727272727,1.00904995821903,2.45454545454545,1.91643608626202,0.363636363636364,0.674199862463242,1.81818181818182,1.72152152575458,0.363636363636364,0.674199862463242,0.636363636363636,1.2862913567872,11,1.9,2.12503869933802,1.95,1.98613615900453,2.1,1.99736668746891,1.75,1.83173774266262,2.85,1.78517285024817,20,0.04969562545826778
4,5,appeal,He had a legal appeal.,M2_a,1.53333333333333,1.50554530541816,1.8,1.47357679522601,0.266666666666667,0.79880863671798,0.6,0.828078671210825,0.133333333333333,0.351865775274498,0.666666666666667,1.23442679969674,15,0.173913043478261,0.491026190103531,1.43478260869565,1.85438269455515,0.173913043478261,0.491026190103531,1.78260869565217,1.90588852433548,0.478260869565217,0.845822096993715,23,0.01132682308699795
5,6,appeal,He had a pending appeal.,M2_b,2.08333333333333,1.67648622440092,2.08333333333333,1.50504203102489,0.5,1.24316312101612,1.5,1.24316312101612,0.5,1.0,0.833333333333333,1.33711584684304,12,0.785714285714286,1.18831305306637,1.64285714285714,1.44686094473747,1.0,1.30088727117598,2.0,1.88107988625192,1.14285714285714,1.16732059119908,14,0.02172944273920918
6,7,appeal,He had a universal appeal.,M1_a,2.3125,1.92245502764911,1.3125,1.49303940559741,0.75,1.23827837473378,1.5625,1.82460041287583,0.1875,0.543905629069357,0.75,1.29099444873581,16,1.08333333333333,1.6396358733272,1.625,1.73987755691126,1.70833333333333,1.73152776639507,3.04166666666667,1.8528278426483,1.66666666666667,1.83366268451417,24,0.08300296705318566
7,8,appeal,He had an undefinable appeal.,M1_b,2.83333333333333,1.64224532179869,1.91666666666667,1.78164037455442,1.58333333333333,1.56427928995103,1.83333333333333,1.74945879077104,0.916666666666667,1.44337567297406,1.75,1.86474468152418,12,0.625,0.957427107756338,1.0,1.15470053837925,0.75,1.48323969741913,2.5,2.03306009093025,0.8125,1.10867789130417,16,0.0825989735798548
8,9,atmosphere,It was a gaseous atmosphere.,M2_a,2.05882352941176,2.01465221053455,0.647058823529412,1.27186754767292,1.94117647058824,2.0757705868934,1.05882352941176,1.47777654921567,0.470588235294118,1.06757008311068,0.705882352941177,0.985184366143778,17,0.842105263157895,1.42451387009108,2.31578947368421,1.94515442343125,1.15789473684211,1.60772986587842,2.78947368421053,1.71849247140306,0.736842105263158,1.32673807442489,19,0.023209191399863216
9,10,atmosphere,It was a hostile atmosphere.,M1_b,3.05882352941176,1.91932892684182,2.11764705882353,1.83311050339227,1.11764705882353,1.57648156273616,1.88235294117647,2.05798302171011,0.235294117647059,0.970142500145332,0.705882352941177,1.31171194829281,17,1.38095238095238,1.65759435557046,1.9047619047619,2.02249256870728,1.57142857142857,1.69030850945703,2.76190476190476,1.99761762869579,1.66666666666667,1.62275485928508,21,0.048052359226735675
