,Unnamed: 0,word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2,sensorimotor_distance,action_distance,perceptual_distance,baseline_distance
0,0,act,It was a desperate act.,It was a magic act.,False,Polysemy,desperate,magic,M1_a_M2_a,N,2.181818182,2.0,0.181818182,11,1.328019715,0.204110265,0.034093499,0.40041301,M1_a,M2_a,0.0367718062969003,0.0085521308886818,0.0139475466062447,0.09831807426170147
1,1,act,It was a desperate act.,It was a comedic act.,False,Polysemy,desperate,comedic,M1_a_M2_b,N,2.0,2.0,0.0,7,1.290994449,0.215615511,0.045926571,0.487950036,M1_a,M2_b,0.0984588932551346,0.0153089997532959,0.0994297269345435,0.11082852955218303
2,2,act,It was a humane act.,It was a magic act.,False,Polysemy,humane,magic,M1_b_M2_a,N,2.818181818,3.0,0.181818182,11,0.981649817,0.191488087,0.042350948,0.295978556,M1_b,M2_a,0.0804007394506205,0.0225485920898472,0.0450676501236119,0.11602035338650907
3,3,act,It was a humane act.,It was a comedic act.,False,Polysemy,humane,comedic,M1_b_M2_b,N,2.80952381,3.0,0.19047619,21,0.92838826,0.225271583,0.05770725,0.202590927,M1_b,M2_b,0.1245361674438443,0.0151239802341239,0.1012478406779229,0.09127095239964234
4,4,act,It was a desperate act.,It was a humane act.,True,Polysemy,desperate,humane,M1_a_M1_b,N,3.9,4.0,0.1,10,0.316227766,0.167989969,0.041440308,0.1,M1_a,M1_b,0.0169692379043139,0.0043872388530248,0.0344961107928591,0.0952055348314842
5,5,act,It was a magic act.,It was a comedic act.,True,Polysemy,magic,comedic,M2_a_M2_b,N,3.764705882,4.0,0.235294118,17,0.437237316,0.162387192,0.035784066,0.106045626,M2_a,M2_b,0.0429697896697621,0.0307770697676782,0.0469193934479882,0.12235829461211101
6,6,appeal,He had a universal appeal.,He had a legal appeal.,False,Polysemy,universal,legal,M1_a_M2_a,N,1.571428571,1.0,0.571428571,14,1.741541568,0.370739162,0.108166337,0.465446562,M1_a,M2_a,0.1167224639638971,0.1125181880386856,0.089904569429289,0.09627300625382351
7,7,appeal,He had a universal appeal.,He had a pending appeal.,False,Polysemy,universal,pending,M1_a_M2_b,N,1.0,0.0,1.0,18,1.328422328,0.430851221,0.150558531,0.313112146,M1_a,M2_b,0.0432263952485417,0.0163120458174713,0.0339046581523051,0.03254454352661318
8,8,appeal,He had an undefinable appeal.,He had a legal appeal.,False,Polysemy,undefinable,legal,M1_b_M2_a,N,1.235294118,1.0,0.235294118,17,1.200490096,0.398581862,0.13264215,0.291161616,M1_b,M2_a,0.1028327777123945,0.0684662540922785,0.101209362497679,
9,9,appeal,He had an undefinable appeal.,He had a pending appeal.,False,Polysemy,undefinable,pending,M1_b_M2_b,N,0.714285714,0.0,0.714285714,7,1.253566341,0.4461236,0.182452857,0.473803541,M1_b,M2_b,0.0591140401778568,0.0457568387382767,0.0484165497432308,
10,10,appeal,He had a universal appeal.,He had an undefinable appeal.,True,Polysemy,universal,undefinable,M1_a_M1_b,N,3.7,4.0,0.3,10,0.483045892,0.120313466,0.045355678,0.152752523,M1_a,M1_b,0.0915464486354084,0.0274394381696732,0.035243042661097,
11,11,appeal,He had a legal appeal.,He had a pending appeal.,True,Polysemy,legal,pending,M2_a_M2_b,N,3.272727273,4.0,0.727272727,11,0.904534034,0.098901391,0.060672343,0.272727273,M2_a,M2_b,0.048371838314056,0.0702450829347844,0.030112882833156,0.04034813680235683
12,12,atmosphere,It was a tense atmosphere.,It was a gaseous atmosphere.,False,Polysemy,tense,gaseous,M1_a_M2_a,N,1.214285714,1.0,0.214285714,14,1.050902281,0.352736831,0.102721155,0.280865449,M1_a,M2_a,0.1378231003733236,0.050466516963927,0.1975413167607084,0.21188684767239796
13,13,atmosphere,It was a tense atmosphere.,It was a polluted atmosphere.,False,Polysemy,tense,polluted,M1_a_M2_b,N,1.846153846,2.0,0.153846154,13,1.28102523,0.256296635,0.068193078,0.355292473,M1_a,M2_b,0.0947505641957966,0.0343654844053901,0.1216953303053153,0.4560422433079355
14,14,atmosphere,It was a hostile atmosphere.,It was a gaseous atmosphere.,False,Polysemy,hostile,gaseous,M1_b_M2_a,N,1.538461538,2.0,0.461538462,13,0.877058019,0.252422631,0.092967808,0.243252128,M1_b,M2_a,0.0800249655401972,0.0408553937397463,0.1136824552029573,0.18084397119546636
15,15,atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,False,Polysemy,hostile,polluted,M1_b_M2_b,N,2.181818182,2.0,0.181818182,11,0.873862898,0.126936376,0.052345157,0.263479577,M1_b,M2_b,0.0763995195203807,0.0469939856184951,0.0715231803760176,0.3202217923512597
16,16,atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,True,Polysemy,tense,hostile,M1_a_M1_b,N,4.0,4.0,0.0,11,0.0,0.129758179,0.037254393,0.0,M1_a,M1_b,0.0509222586429377,0.0290746772196918,0.0644996888129934,0.11276260162981144
17,17,atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,True,Polysemy,gaseous,polluted,M2_a_M2_b,N,3.466666667,4.0,0.533333333,15,0.639940473,0.199588358,0.037874043,0.16523192,M2_a,M2_b,0.0584393922451388,0.0194320242388227,0.0138007420776751,0.2229272065030018
18,18,bail,He bailed out the prisoner.,He bailed out the water.,False,Homonymy,prisoner,water,M1_a_M2_a,V,0.894736842,1.0,0.105263158,19,1.100239208,0.294229746,0.079534769,0.252412185,M1_a,M2_a,0.0812251109036726,0.0350935334369736,0.0229584251100114,0.14198850961353482
