sentence1,sentence2,word,string,Same_sense,Distance,Layer,S1_ntokens,S2_ntokens,token_diffs,n_params
It was a desperate act.,It was a magic act.,act,act,False,1.4080606347555147e-08,0,8,8,0,109482240
It was a desperate act.,It was a comedic act.,act,act,False,1.4080606347555147e-08,0,8,8,0,109482240
It was a humane act.,It was a magic act.,act,act,False,1.4080606347555147e-08,0,8,8,0,109482240
It was a humane act.,It was a comedic act.,act,act,False,1.4080606347555147e-08,0,8,8,0,109482240
It was a desperate act.,It was a humane act.,act,act,True,1.4080606347555147e-08,0,8,8,0,109482240
It was a magic act.,It was a comedic act.,act,act,True,1.4080606347555147e-08,0,8,8,0,109482240
He had a universal appeal.,He had a legal appeal.,appeal,appeal,False,5.712066486474043e-09,0,8,8,0,109482240
He had a universal appeal.,He had a pending appeal.,appeal,appeal,False,5.712066486474043e-09,0,8,8,0,109482240
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,False,0.04486890716658354,0,11,8,3,109482240
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,False,0.04486890716658354,0,11,8,3,109482240
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,True,0.04486890716658354,0,8,11,3,109482240
He had a legal appeal.,He had a pending appeal.,appeal,appeal,True,5.712066486474043e-09,0,8,8,0,109482240
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.0287735277439386,0,8,9,1,109482240
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,0.0287735277439386,0,8,9,1,109482240
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.0287735277439386,0,8,9,1,109482240
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,0.0287735277439386,0,8,9,1,109482240
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,True,0.0,0,8,8,0,109482240
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,True,1.8495084574965404e-08,0,9,9,0,109482240
He bailed out the prisoner.,He bailed out the water.,bail,bailed,False,1.722875830889592e-08,0,9,9,0,109482240
He bailed out the prisoner.,He bailed out the liquid.,bail,bailed,False,1.722875830889592e-08,0,9,9,0,109482240
He bailed out the defendant.,He bailed out the water.,bail,bailed,False,1.722875830889592e-08,0,9,9,0,109482240
He bailed out the defendant.,He bailed out the liquid.,bail,bailed,False,1.722875830889592e-08,0,9,9,0,109482240
He bailed out the prisoner.,He bailed out the defendant.,bail,bailed,True,1.722875830889592e-08,0,9,9,0,109482240
He bailed out the water.,He bailed out the liquid.,bail,bailed,True,1.722875830889592e-08,0,9,9,0,109482240
It was a gold band.,It was a jazz band.,band,band,False,1.3782711194565422e-08,0,8,8,0,109482240
It was a gold band.,It was a country band.,band,band,False,1.3782711194565422e-08,0,8,8,0,109482240
It was a rubber band.,It was a jazz band.,band,band,False,1.3782711194565422e-08,0,8,8,0,109482240
