sentence1,sentence2,word,string,Same_sense,Distance,Layer,S1_ntokens,S2_ntokens,token_diffs,n_params
It was a desperate act.,It was a magic act.,act,act,False,0.0,0,8,8,0,124645632
It was a desperate act.,It was a comedic act.,act,act,False,0.0,0,8,8,0,124645632
It was a humane act.,It was a magic act.,act,act,False,0.0,0,8,8,0,124645632
It was a humane act.,It was a comedic act.,act,act,False,0.0,0,8,8,0,124645632
It was a desperate act.,It was a humane act.,act,act,True,0.0,0,8,8,0,124645632
It was a magic act.,It was a comedic act.,act,act,True,0.0,0,8,8,0,124645632
He had a universal appeal.,He had a legal appeal.,appeal,appeal,False,0.0,0,8,8,0,124645632
He had a universal appeal.,He had a pending appeal.,appeal,appeal,False,0.0,0,8,8,0,124645632
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,False,0.04999006316436905,0,11,8,3,124645632
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,False,0.04999006316436905,0,11,8,3,124645632
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,True,0.04999006316436905,0,8,11,3,124645632
He had a legal appeal.,He had a pending appeal.,appeal,appeal,True,0.0,0,8,8,0,124645632
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.028578454545716503,0,8,10,2,124645632
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,0.0,0,8,8,0,124645632
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.028578454545716503,0,8,10,2,124645632
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,0.0,0,8,8,0,124645632
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,True,0.0,0,8,8,0,124645632
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,True,0.028578454545716503,0,10,8,2,124645632
He bailed out the prisoner.,He bailed out the water.,bail,bailed,False,2.6440347911105277e-08,0,8,8,0,124645632
He bailed out the prisoner.,He bailed out the liquid.,bail,bailed,False,2.6440347911105277e-08,0,8,8,0,124645632
He bailed out the defendant.,He bailed out the water.,bail,bailed,False,2.6440347911105277e-08,0,8,8,0,124645632
He bailed out the defendant.,He bailed out the liquid.,bail,bailed,False,2.6440347911105277e-08,0,8,8,0,124645632
He bailed out the prisoner.,He bailed out the defendant.,bail,bailed,True,2.6440347911105277e-08,0,8,8,0,124645632
He bailed out the water.,He bailed out the liquid.,bail,bailed,True,2.6440347911105277e-08,0,8,8,0,124645632
It was a gold band.,It was a jazz band.,band,band,False,0.0,0,8,8,0,124645632
It was a gold band.,It was a country band.,band,band,False,0.0,0,8,8,0,124645632
It was a rubber band.,It was a jazz band.,band,band,False,0.0,0,8,8,0,124645632
It was a rubber band.,It was a country band.,band,band,False,0.0,0,8,8,0,124645632
It was a gold band.,It was a rubber band.,band,band,True,0.0,0,8,8,0,124645632
It was a jazz band.,It was a country band.,band,band,True,0.0,0,8,8,0,124645632
He banked the plane.,He banked the money.,bank,banked,False,6.382838702023719e-09,0,8,8,0,124645632
He banked the plane.,He banked the cash.,bank,banked,False,6.382838702023719e-09,0,8,8,0,124645632
He banked the helicopter.,He banked the money.,bank,banked,False,6.382838702023719e-09,0,8,8,0,124645632
He banked the helicopter.,He banked the cash.,bank,banked,False,6.382838702023719e-09,0,8,8,0,124645632
He banked the plane.,He banked the helicopter.,bank,banked,True,6.382838702023719e-09,0,8,8,0,124645632
He banked the money.,He banked the cash.,bank,banked,True,6.382838702023719e-09,0,8,8,0,124645632
There was a police barrier.,There was a language barrier.,barrier,barrier,False,0.0,0,8,8,0,124645632
There was a police barrier.,There was a religious barrier.,barrier,barrier,False,0.0,0,8,8,0,124645632
There was a concrete barrier.,There was a language barrier.,barrier,barrier,False,0.0,0,8,8,0,124645632
There was a concrete barrier.,There was a religious barrier.,barrier,barrier,False,0.0,0,8,8,0,124645632
There was a police barrier.,There was a concrete barrier.,barrier,barrier,True,0.0,0,8,8,0,124645632
There was a language barrier.,There was a religious barrier.,barrier,barrier,True,0.0,0,8,8,0,124645632
He saw a furry bat.,He saw a wooden bat.,bat,bat,False,1.116812975432424e-09,0,8,8,0,124645632
He saw a furry bat.,He saw a baseball bat.,bat,bat,False,1.116812975432424e-09,0,8,8,0,124645632
He saw a fruit bat.,He saw a wooden bat.,bat,bat,False,1.116812975432424e-09,0,8,8,0,124645632
He saw a fruit bat.,He saw a baseball bat.,bat,bat,False,1.116812975432424e-09,0,8,8,0,124645632
He saw a furry bat.,He saw a fruit bat.,bat,bat,True,1.116812975432424e-09,0,8,8,0,124645632
He saw a wooden bat.,He saw a baseball bat.,bat,bat,True,1.116812975432424e-09,0,8,8,0,124645632
He saw the laser beam.,He saw the wood beam.,beam,beam,False,0.0,0,8,8,0,124645632
He saw the laser beam.,He saw the balance beam.,beam,beam,False,0.0,0,8,8,0,124645632
He saw the bright beam.,He saw the wood beam.,beam,beam,False,0.0,0,8,8,0,124645632
He saw the bright beam.,He saw the balance beam.,beam,beam,False,0.0,0,8,8,0,124645632
He saw the laser beam.,He saw the bright beam.,beam,beam,True,0.0,0,8,8,0,124645632
He saw the wood beam.,He saw the balance beam.,beam,beam,True,0.0,0,8,8,0,124645632
She had a toy block.,She had a mental block.,block,block,False,0.0,0,8,8,0,124645632
She had a toy block.,She had a writer's block.,block,block,False,0.008326708283077355,0,8,9,1,124645632
She had a wooden block.,She had a mental block.,block,block,False,0.0,0,8,8,0,124645632
She had a wooden block.,She had a writer's block.,block,block,False,0.008326708283077355,0,8,9,1,124645632
She had a toy block.,She had a wooden block.,block,block,True,0.0,0,8,8,0,124645632
She had a mental block.,She had a writer's block.,block,block,True,0.008326708283077355,0,8,9,1,124645632
