sentence1,sentence2,word,string,Same_sense,Distance,Layer,S1_ntokens,S2_ntokens,token_diffs,n_params
It was a desperate act.,It was a magic act.,act,act,False,0.01639336252420598,0,9,8,1,177853440
It was a desperate act.,It was a comedic act.,act,act,False,0.0,0,9,9,0,177853440
It was a humane act.,It was a magic act.,act,act,False,0.01639336252420598,0,9,8,1,177853440
It was a humane act.,It was a comedic act.,act,act,False,0.0,0,9,9,0,177853440
It was a desperate act.,It was a humane act.,act,act,True,0.0,0,9,9,0,177853440
It was a magic act.,It was a comedic act.,act,act,True,0.01639336252420598,0,8,9,1,177853440
He had a universal appeal.,He had a legal appeal.,appeal,appeal,False,0.0,0,8,8,0,177853440
He had a universal appeal.,He had a pending appeal.,appeal,appeal,False,0.01563280502554043,0,8,9,1,177853440
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,False,0.02537173367204537,0,10,8,2,177853440
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,False,0.015941611969105818,0,10,9,1,177853440
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,True,0.02537173367204537,0,8,10,2,177853440
He had a legal appeal.,He had a pending appeal.,appeal,appeal,True,0.01563280502554043,0,8,9,1,177853440
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.017326188919084995,0,9,10,1,177853440
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,4.9185381323368915e-09,0,9,9,0,177853440
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.027573100180313892,0,8,10,2,177853440
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,0.016965671568671237,0,8,9,1,177853440
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,True,0.016965671568671237,0,9,8,1,177853440
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,True,0.017326188919084995,0,10,9,1,177853440
He bailed out the prisoner.,He bailed out the water.,bail,bailed,False,9.335565653856293e-10,0,9,9,0,177853440
He bailed out the prisoner.,He bailed out the liquid.,bail,bailed,False,9.335565653856293e-10,0,9,9,0,177853440
He bailed out the defendant.,He bailed out the water.,bail,bailed,False,9.335565653856293e-10,0,10,9,1,177853440
He bailed out the defendant.,He bailed out the liquid.,bail,bailed,False,9.335565653856293e-10,0,10,9,1,177853440
He bailed out the prisoner.,He bailed out the defendant.,bail,bailed,True,9.335565653856293e-10,0,9,10,1,177853440
He bailed out the water.,He bailed out the liquid.,bail,bailed,True,9.335565653856293e-10,0,9,9,0,177853440
It was a gold band.,It was a jazz band.,band,band,False,7.327862761030701e-10,0,8,8,0,177853440
