sentence1,sentence2,word,string,Same_sense,Distance,Layer,S1_ntokens,S2_ntokens,token_diffs,n_params
It was a desperate act.,It was a magic act.,act,act,False,1.7914337901991928e-08,0,8,8,0,108310272
It was a desperate act.,It was a comedic act.,act,act,False,1.7914337901991928e-08,0,8,8,0,108310272
It was a humane act.,It was a magic act.,act,act,False,0.025100069283298443,0,9,8,1,108310272
It was a humane act.,It was a comedic act.,act,act,False,0.025100069283298443,0,9,8,1,108310272
It was a desperate act.,It was a humane act.,act,act,True,0.025100069283298443,0,8,9,1,108310272
It was a magic act.,It was a comedic act.,act,act,True,1.7914337901991928e-08,0,8,8,0,108310272
He had a universal appeal.,He had a legal appeal.,appeal,appeal,False,1.3020300504429372e-08,0,8,8,0,108310272
He had a universal appeal.,He had a pending appeal.,appeal,appeal,False,1.3020300504429372e-08,0,8,8,0,108310272
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,False,0.030676230386858405,0,11,8,3,108310272
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,False,0.030676230386858405,0,11,8,3,108310272
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,True,0.030676230386858405,0,8,11,3,108310272
He had a legal appeal.,He had a pending appeal.,appeal,appeal,True,1.3020300504429372e-08,0,8,8,0,108310272
It was a tense atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.026046569835237232,0,8,9,1,108310272
It was a tense atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,0.026046569835237232,0,8,9,1,108310272
It was a hostile atmosphere.,It was a gaseous atmosphere.,atmosphere,atmosphere,False,0.026046569835237232,0,8,9,1,108310272
It was a hostile atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,False,0.026046569835237232,0,8,9,1,108310272
It was a tense atmosphere.,It was a hostile atmosphere.,atmosphere,atmosphere,True,2.7396365176457493e-09,0,8,8,0,108310272
It was a gaseous atmosphere.,It was a polluted atmosphere.,atmosphere,atmosphere,True,1.5155866672778018e-08,0,9,9,0,108310272
He bailed out the prisoner.,He bailed out the water.,bail,bailed,False,4.133442699227885e-09,0,9,9,0,108310272
He bailed out the prisoner.,He bailed out the liquid.,bail,bailed,False,4.133442699227885e-09,0,9,9,0,108310272
He bailed out the defendant.,He bailed out the water.,bail,bailed,False,4.133442699227885e-09,0,9,9,0,108310272
He bailed out the defendant.,He bailed out the liquid.,bail,bailed,False,4.133442699227885e-09,0,9,9,0,108310272
He bailed out the prisoner.,He bailed out the defendant.,bail,bailed,True,4.133442699227885e-09,0,9,9,0,108310272
He bailed out the water.,He bailed out the liquid.,bail,bailed,True,4.133442699227885e-09,0,9,9,0,108310272
It was a gold band.,It was a jazz band.,band,band,False,5.0083777125564666e-09,0,8,8,0,108310272
It was a gold band.,It was a country band.,band,band,False,5.0083777125564666e-09,0,8,8,0,108310272
It was a rubber band.,It was a jazz band.,band,band,False,5.0083777125564666e-09,0,8,8,0,108310272
It was a rubber band.,It was a country band.,band,band,False,5.0083777125564666e-09,0,8,8,0,108310272
It was a gold band.,It was a rubber band.,band,band,True,5.0083777125564666e-09,0,8,8,0,108310272
It was a jazz band.,It was a country band.,band,band,True,5.0083777125564666e-09,0,8,8,0,108310272
He banked the plane.,He banked the money.,bank,banked,False,1.0594869870317325e-08,0,8,8,0,108310272
He banked the plane.,He banked the cash.,bank,banked,False,1.0594869870317325e-08,0,8,8,0,108310272
He banked the helicopter.,He banked the money.,bank,banked,False,1.0594869870317325e-08,0,8,8,0,108310272
He banked the helicopter.,He banked the cash.,bank,banked,False,1.0594869870317325e-08,0,8,8,0,108310272
He banked the plane.,He banked the helicopter.,bank,banked,True,1.0594869870317325e-08,0,8,8,0,108310272
He banked the money.,He banked the cash.,bank,banked,True,1.0594869870317325e-08,0,8,8,0,108310272
There was a police barrier.,There was a language barrier.,barrier,barrier,False,3.5920887375695543e-09,0,8,8,0,108310272
There was a police barrier.,There was a religious barrier.,barrier,barrier,False,3.5920887375695543e-09,0,8,8,0,108310272
There was a concrete barrier.,There was a language barrier.,barrier,barrier,False,3.5920887375695543e-09,0,8,8,0,108310272
There was a concrete barrier.,There was a religious barrier.,barrier,barrier,False,3.5920887375695543e-09,0,8,8,0,108310272
There was a police barrier.,There was a concrete barrier.,barrier,barrier,True,3.5920887375695543e-09,0,8,8,0,108310272
There was a language barrier.,There was a religious barrier.,barrier,barrier,True,3.5920887375695543e-09,0,8,8,0,108310272
He saw a furry bat.,He saw a wooden bat.,bat,bat,False,0.022616445186598222,0,9,8,1,108310272
He saw a furry bat.,He saw a baseball bat.,bat,bat,False,0.022616445186598222,0,9,8,1,108310272
He saw a fruit bat.,He saw a wooden bat.,bat,bat,False,0.0,0,8,8,0,108310272
He saw a fruit bat.,He saw a baseball bat.,bat,bat,False,0.0,0,8,8,0,108310272
He saw a furry bat.,He saw a fruit bat.,bat,bat,True,0.022616445186598222,0,9,8,1,108310272
He saw a wooden bat.,He saw a baseball bat.,bat,bat,True,0.0,0,8,8,0,108310272
He saw the laser beam.,He saw the wood beam.,beam,beam,False,0.0,0,8,8,0,108310272
He saw the laser beam.,He saw the balance beam.,beam,beam,False,0.0,0,8,8,0,108310272
He saw the bright beam.,He saw the wood beam.,beam,beam,False,0.0,0,8,8,0,108310272
He saw the bright beam.,He saw the balance beam.,beam,beam,False,0.0,0,8,8,0,108310272
He saw the laser beam.,He saw the bright beam.,beam,beam,True,0.0,0,8,8,0,108310272
He saw the wood beam.,He saw the balance beam.,beam,beam,True,0.0,0,8,8,0,108310272
She had a toy block.,She had a mental block.,block,block,False,1.7168269583756057e-08,0,8,8,0,108310272
She had a toy block.,She had a writer's block.,block,block,False,0.031144714130692863,0,8,10,2,108310272
She had a wooden block.,She had a mental block.,block,block,False,1.7168269583756057e-08,0,8,8,0,108310272
She had a wooden block.,She had a writer's block.,block,block,False,0.031144714130692863,0,8,10,2,108310272
She had a toy block.,She had a wooden block.,block,block,True,1.7168269583756057e-08,0,8,8,0,108310272
She had a mental block.,She had a writer's block.,block,block,True,0.031144714130692863,0,8,10,2,108310272
He has coagulated blood.,He has noble blood.,blood,blood,False,0.03652479624507354,0,9,7,2,108310272
He has coagulated blood.,He has royal blood.,blood,blood,False,0.03652479624507354,0,9,7,2,108310272
